2022-04-18 16:37:42:989  INFO main c.i.S.S.W.SecureAccessMngWebApplication:48 - Starting SecureAccessMngWebApplication on DESKTOP-0DU5PP8 with PID 24860 (E:\project\git\SecureAccess\SecureAccessMng-Web\SecureAccessMng-Web\target\classes started by for in E:\project\git\SecureAccess\SecureAccessMng-Web\SecureAccessMng-Web)
2022-04-18 16:37:42:992  INFO main c.i.S.S.W.SecureAccessMngWebApplication:597 - The following profiles are active: local
2022-04-18 16:37:43:033  INFO main o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext:583 - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@17046283: startup date [Mon Apr 18 16:37:43 KST 2022]; root of context hierarchy
2022-04-18 16:37:44:635  INFO main o.s.b.c.e.t.TomcatEmbeddedServletContainer:89 - Tomcat initialized with port(s): 39030 (https)
2022-04-18 16:37:44:644  INFO main o.a.c.c.StandardService:179 - Starting service [Tomcat]
2022-04-18 16:37:44:645  INFO main o.a.c.c.StandardEngine:179 - Starting Servlet Engine: Apache Tomcat/8.5.16
2022-04-18 16:37:44:835  WARN localhost-startStop-1 o.a.j.s.TldScanner:179 - Failed to process TLD with path [/WEB-INF/tags/jstl/funLibrary.tld] and URI [funLibrary]. The specified path does not exist.
2022-04-18 16:37:44:975  INFO localhost-startStop-1 o.a.j.s.TldScanner:179 - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2022-04-18 16:37:44:984  INFO localhost-startStop-1 o.a.c.c.C.[.[.[/]:179 - Initializing Spring embedded WebApplicationContext
2022-04-18 16:37:44:985  INFO localhost-startStop-1 o.s.w.c.ContextLoader:276 - Root WebApplicationContext: initialization completed in 1952 ms
2022-04-18 16:37:45:175  INFO localhost-startStop-1 o.s.b.w.s.ServletRegistrationBean:190 - Mapping servlet: 'dispatcherServlet' to [/]
2022-04-18 16:37:45:179  INFO localhost-startStop-1 o.s.b.w.s.FilterRegistrationBean:258 - Mapping filter: 'characterEncodingFilter' to: [/*]
2022-04-18 16:37:45:180  INFO localhost-startStop-1 o.s.b.w.s.FilterRegistrationBean:258 - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2022-04-18 16:37:45:180  INFO localhost-startStop-1 o.s.b.w.s.FilterRegistrationBean:258 - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2022-04-18 16:37:45:180  INFO localhost-startStop-1 o.s.b.w.s.FilterRegistrationBean:258 - Mapping filter: 'requestContextFilter' to: [/*]
2022-04-18 16:37:45:261  INFO main c.i.S.S.W.f.c.m.DatabaseConfig:28 - configureDataSource = MasterDatabaseProperties[com.mysql.jdbc.Driver]
2022-04-18 16:37:45:785  INFO main c.i.S.S.W.f.c.m.DatabaseConfig:28 - configureDataSource = MasterDatabaseProperties[com.mysql.jdbc.Driver]
2022-04-18 16:37:46:005  INFO main o.s.w.s.m.m.a.RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@17046283: startup date [Mon Apr 18 16:37:43 KST 2022]; root of context hierarchy
2022-04-18 16:37:46:056  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/Accesslog/ProcSelectOneData.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.accesslog.act.AccesslogAct.ProcSelectOneData(org.springframework.ui.Model)
2022-04-18 16:37:46:058  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/Accesslog/SelectOneData.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.accesslog.act.AccesslogAct.SelectOneData(org.springframework.ui.Model)
2022-04-18 16:37:46:058  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/Accesslog/ModifyData.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.accesslog.act.AccesslogAct.ModifyData(org.springframework.ui.Model)
2022-04-18 16:37:46:058  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/Accesslog/DeleteData.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.accesslog.act.AccesslogAct.DeleteData(org.springframework.ui.Model)
2022-04-18 16:37:46:059  INFO main o.s.w.s.m.m.a.RequestMappingHandlerMapping:543 - Mapped "{[/Accesslog/ListPagingData.do]}" onto public java.lang.String com.inbiznetcorp.SecureAccess.SecureAccessMng.Web.accesslog.act.AccesslogAct.ListPagingData(org.springframework.ui.Model)
